shape,T,H,I,E,K,rc,wall_s,busy_us_per_iter,span_us_per_iter,matmul_flops_per_iter,matmul_tflops_achieved,mfu,sm_util_busy_over_span,log
T4096-H3072-I1536-E8-K8,4096,3072,1536,8,8,0,34.608601808547974,1445.86975,4572.538666666666,2783138807808.0,1924.889021163905,0.4277531158142011,0.31620722215871916,reports/mfu_s80b/bench_T4096-H3072-I1536-E8-K8.log
T8192-H3072-I1536-E8-K8,8192,3072,1536,8,8,0,34.58812069892883,2693.2723333333333,4773.442,5566277615616.0,2066.734041977436,0.4592742315505413,0.5642201860488372,reports/mfu_s80b/bench_T8192-H3072-I1536-E8-K8.log
T16384-H3072-I1536-E8-K8,16384,3072,1536,8,8,0,33.96274161338806,5324.026666666667,6656.262416666667,11132555231232.0,2091.0029059268427,0.4646673124281872,0.7998522794617885,reports/mfu_s80b/bench_T16384-H3072-I1536-E8-K8.log
T8192-H4096-I2048-E8-K8,8192,4096,2048,8,8,0,37.42648196220398,4384.181916666666,5899.47075,9895604649984.0,2257.115429532112,0.5015812065626916,0.7431483437165387,reports/mfu_s80b/bench_T8192-H4096-I2048-E8-K8.log
T8192-H4096-I4096-E8-K8,8192,4096,4096,8,8,0,34.086403608322144,8577.975416666666,9925.511583333333,19791209299968.0,2307.2121728764187,0.5127138161947596,0.8642350920299751,reports/mfu_s80b/bench_T8192-H4096-I4096-E8-K8.log
T8192-H6144-I2048-E8-K8,8192,6144,2048,8,8,0,34.889119386672974,6400.7733333333335,7741.151833333333,14843406974976.0,2319.0021270829775,0.5153338060184395,0.8268502506011649,reports/mfu_s80b/bench_T8192-H6144-I2048-E8-K8.log
